code,codeInt,category,description,packSize,walkUnit,orderUnit,weeklyUsage
4325D,4325,Packaging,Box Pizza XLarge,55,pack,pack,4.9091
4454D,4454,Consumables,Paper Towel,4000,box,box,0.0000
4460E,4460,Consumables,Paper Napkin,6000,box,box,0.0000
4461A,4461,Consumables,Paper Napkin Dispenser,1,box,each,0.0000
5546B,5546,Consumables,Paper Parchment,500,box,pack,0.1000
6100B,6100,General Foods,Brownie Chocolate,432,box,box,0.5556
6101B,6101,General Foods,Churros,200,box,box,0.7000
6110,6110,General Foods,Pancakes Mini,448,box,box,0.5357
6112B,6112,General Foods,Triple Choc Cookie Puck,12.5,box,box,0.0000
6113,6113,General Foods,Cream Cheese Glaze,10,box,box,0.3000
6117,6117,General Foods,Tinmax,5,bag,bag,0.5000
6151B,6151,General Foods,Cinnamon Sugar,1,bag,bag,0.5000
6161C,6161,General Foods,Cookie Crumb,0.45,bag,bag,1.0000
6216,6216,General Foods,Mousse Chocolate and Salted Caramel,36,box,box,0.5556
8002,8002,Consumables,Gloves Small,1000,box,box,0.0000
8003,8003,Consumables,Gloves XLarge,1000,box,box,0.0000
8006,8006,Consumables,Gloves Medium,1000,box,box,1.0000
8007,8007,Consumables,Gloves Large,1000,box,box,0.0000
8022,8022,Consumables,Gloves LDPE Small,5000,box,box,0.0000
8023,8023,Consumables,Gloves LDPE Medium,5000,box,box,0.0000
8038E,8038,Consumables,Merriwipe Roll,4,box,box,1.0000
8039,8039,Consumables,Bag Rubbish 73 Litre,25,pack,pack,0.8000
8040,8040,Consumables,Bag Rubbish 120 Litre,25,pack,box,0.0000
8041A,8041,Consumables,Bag Rubbish 240 Litre,100,pack,box,0.2500
8865A,8865,Consumables,Paper Printer Rolls,50,box,box,0.0000
8871A,8871,Consumables,Paper Thermal Printer Rolls,50,box,box,0.5000
9500B,9500,General Foods,Milo (inner),1.25,tin,tin,0.5000
9501C,9501,General Foods,Vanilla Malt Powder,1.5,tin,tin,0.5000
9503A,9503,General Foods,Dairy Soft Vanilla,9.5,tub,tub,1.0000
9504B,9504,General Foods,Cream Whipped,6,can,box,0.3333
9507,9507,General Foods,Sauce Salted Caramel,4.5,box,box,0.2000
